A	B
0.21	22.4
0.215	34.6
0.22	46.6
0.225	60
0.23	71.4
0.235	86.2
0.24	101.6
0.245	116
0.25	126.4
0.255	139.4
0.26	152.4
0.265	169.6
0.27	186
0.275	202.8
0.28	222
0.285	242.8
0.29	260
0.295	270.2
0.3	263.2
0.305	233
0.31	179
0.315	123
