-2.734375E+00	-52.217E-03
-2.730469E+00	-52.167E-03
-2.726563E+00	-52.112E-03
-2.722656E+00	-51.866E-03
-2.718750E+00	-52.016E-03
-2.714844E+00	-51.589E-03
-2.710938E+00	-51.901E-03
-2.707031E+00	-51.856E-03
-2.703125E+00	-52.097E-03
-2.699219E+00	-52.167E-03
-2.695313E+00	-52.082E-03
-2.691406E+00	-51.921E-03
-2.687500E+00	-52.142E-03
-2.683594E+00	-51.941E-03
-2.679688E+00	-51.896E-03
-2.675781E+00	-51.650E-03
-2.671875E+00	-51.846E-03
-2.667969E+00	-51.800E-03
-2.664063E+00	-52.102E-03
-2.660156E+00	-52.016E-03
-2.656250E+00	-51.886E-03
-2.652344E+00	-52.403E-03
-2.648438E+00	-51.665E-03
-2.644531E+00	-52.177E-03
-2.640625E+00	-52.026E-03
-2.636719E+00	-51.971E-03
-2.632813E+00	-51.740E-03
-2.628906E+00	-51.579E-03
-2.625000E+00	-50.946E-03
-2.621094E+00	-50.650E-03
-2.617188E+00	-50.233E-03
-2.613281E+00	-50.263E-03
-2.609375E+00	-49.403E-03
-2.605469E+00	-49.640E-03
-2.601563E+00	-49.388E-03
-2.597656E+00	-48.971E-03
-2.593750E+00	-48.770E-03
-2.589844E+00	-48.092E-03
-2.585938E+00	-48.273E-03
-2.582031E+00	-47.710E-03
-2.578125E+00	-47.755E-03
-2.574219E+00	-47.780E-03
-2.570313E+00	-47.710E-03
-2.566406E+00	-47.258E-03
-2.562500E+00	-46.841E-03
-2.558594E+00	-46.720E-03
-2.554688E+00	-46.564E-03
-2.550781E+00	-46.353E-03
-2.546875E+00	-46.042E-03
-2.542969E+00	-46.067E-03
-2.539063E+00	-45.383E-03
-2.535156E+00	-46.032E-03
-2.531250E+00	-45.906E-03
-2.527344E+00	-45.489E-03
-2.523438E+00	-45.187E-03
-2.519531E+00	-45.217E-03
-2.515625E+00	-45.333E-03
-2.511719E+00	-45.087E-03
-2.507813E+00	-45.308E-03
-2.503906E+00	-45.258E-03
-2.500000E+00	-45.373E-03
-2.496094E+00	-44.629E-03
-2.492188E+00	-45.107E-03
-2.488281E+00	-44.805E-03
-2.484375E+00	-44.640E-03
-2.480469E+00	-44.418E-03
-2.476563E+00	-44.418E-03
-2.472656E+00	-43.991E-03
-2.468750E+00	-43.800E-03
-2.464844E+00	-44.353E-03
-2.460938E+00	-44.102E-03
-2.457031E+00	-43.680E-03
-2.453125E+00	-43.931E-03
-2.449219E+00	-43.449E-03
-2.445313E+00	-43.680E-03
-2.441406E+00	-43.911E-03
-2.437500E+00	-43.358E-03
-2.433594E+00	-43.197E-03
-2.429688E+00	-43.067E-03
-2.425781E+00	-43.172E-03
-2.421875E+00	-42.795E-03
-2.417969E+00	-42.710E-03
-2.414063E+00	-42.655E-03
-2.410156E+00	-42.700E-03
-2.406250E+00	-42.841E-03
-2.402344E+00	-43.182E-03
-2.398438E+00	-42.921E-03
-2.394531E+00	-42.599E-03
-2.390625E+00	-42.951E-03
-2.386719E+00	-43.303E-03
-2.382813E+00	-42.795E-03
-2.378906E+00	-43.248E-03
-2.375000E+00	-42.755E-03
-2.371094E+00	-42.750E-03
-2.367188E+00	-42.795E-03
-2.363281E+00	-42.790E-03
-2.359375E+00	-42.805E-03
-2.355469E+00	-42.695E-03
-2.351563E+00	-42.700E-03
-2.347656E+00	-42.087E-03
-2.343750E+00	-42.624E-03
-2.339844E+00	-42.956E-03
-2.335938E+00	-42.795E-03
-2.332031E+00	-42.423E-03
-2.328125E+00	-42.720E-03
-2.324219E+00	-42.484E-03
-2.320313E+00	-42.494E-03
-2.316406E+00	-42.177E-03
-2.312500E+00	-42.413E-03
-2.308594E+00	-42.439E-03
-2.304688E+00	-42.434E-03
-2.300781E+00	-42.614E-03
-2.296875E+00	-42.293E-03
-2.292969E+00	-42.444E-03
-2.289063E+00	-42.474E-03
-2.285156E+00	-42.167E-03
-2.281250E+00	-42.187E-03
-2.277344E+00	-42.313E-03
-2.273438E+00	-42.303E-03
-2.269531E+00	-42.047E-03
-2.265625E+00	-42.408E-03
-2.261719E+00	-42.298E-03
-2.257813E+00	-42.418E-03
-2.253906E+00	-42.675E-03
-2.250000E+00	-42.635E-03
-2.246094E+00	-42.861E-03
-2.242188E+00	-42.569E-03
-2.238281E+00	-42.062E-03
-2.234375E+00	-42.830E-03
-2.230469E+00	-42.167E-03
-2.226563E+00	-42.278E-03
-2.222656E+00	-42.368E-03
-2.218750E+00	-41.916E-03
-2.214844E+00	-42.187E-03
-2.210938E+00	-42.077E-03
-2.207031E+00	-41.891E-03
-2.203125E+00	-42.212E-03
-2.199219E+00	-41.815E-03
-2.195313E+00	-42.037E-03
-2.191406E+00	-42.092E-03
-2.187500E+00	-42.026E-03
-2.183594E+00	-41.986E-03
-2.179688E+00	-41.760E-03
-2.175781E+00	-41.981E-03
-2.171875E+00	-41.790E-03
-2.167969E+00	-42.217E-03
-2.164063E+00	-41.705E-03
-2.160156E+00	-41.790E-03
-2.156250E+00	-41.795E-03
-2.152344E+00	-41.926E-03
-2.148438E+00	-41.916E-03
-2.144531E+00	-42.016E-03
-2.140625E+00	-42.072E-03
-2.136719E+00	-41.750E-03
-2.132813E+00	-41.921E-03
-2.128906E+00	-41.820E-03
-2.125000E+00	-42.097E-03
-2.121094E+00	-42.212E-03
-2.117188E+00	-41.966E-03
-2.113281E+00	-42.629E-03
-2.109375E+00	-42.383E-03
-2.105469E+00	-42.403E-03
-2.101563E+00	-42.393E-03
-2.097656E+00	-42.378E-03
