A	B
0.0293	-296.11328
0.0294	-295.95576
0.0295	-295.79724
0.0296	-295.63773
0.0297	-295.47725
0.0298	-295.31581
0.0299	-295.15341
0.03	-294.99006
0.0301	-294.82578
0.0302	-294.66057
0.0303	-294.49444
0.0304	-294.3274
0.0305	-294.15946
0.0306	-293.99063
0.0307	-293.82092
0.0308	-293.65033
0.0309	-293.47888
0.031	-293.30658
0.0311	-293.13343
0.0312	-292.95945
0.0313	-292.78463
0.0314	-292.609
0.0315	-292.43255
0.0316	-292.25531
0.0317	-292.07727
0.0318	-291.89844
0.0319	-291.71884
0.032	-291.53848
0.0321	-291.35735
0.0322	-291.17547
0.0323	-290.99285
0.0324	-290.8095
0.0325	-290.62542
0.0326	-290.44062
0.0327	-290.25512
0.0328	-290.06891
0.0329	-289.88201
0.033	-289.69443
0.0331	-289.50617
0.0332	-289.31724
0.0333	-289.12765
0.0334	-288.93741
0.0335	-288.74652
0.0336	-288.555
0.0337	-288.36285
0.0338	-288.17007
0.0339	-287.97668
0.034	-287.78269
0.0341	-287.58809
0.0342	-287.39291
0.0343	-287.19714
0.0344	-287.0008
0.0345	-286.80388
0.0346	-286.60641
0.0347	-286.40838
0.0348	-286.20981
0.0349	-286.0107
0.035	-285.81105
0.0351	-285.61088
0.0352	-285.41019
0.0353	-285.20899
0.0354	-285.00729
0.0355	-284.80509
0.0356	-284.6024
0.0357	-284.39923
0.0358	-284.19559
0.0359	-283.99147
0.036	-283.78689
0.0361	-283.58186
0.0362	-283.37638
0.0363	-283.17045
0.0364	-282.96409
0.0365	-282.7573
0.0366	-282.55009
0.0367	-282.34247
0.0368	-282.13443
0.0369	-281.92599
0.037	-281.71716
0.0371	-281.50793
0.0372	-281.29832
0.0373	-281.08834
0.0374	-280.87798
0.0375	-280.66726
0.0376	-280.45618
0.0377	-280.24474
0.0378	-280.03296
0.0379	-279.82084
0.038	-279.60838
0.0381	-279.3956
0.0382	-279.18249
0.0383	-278.96907
0.0384	-278.75533
0.0385	-278.54129
0.0386	-278.32695
0.0387	-278.11232
0.0388	-277.89739
0.0389	-277.68219
0.039	-277.46671
0.0391	-277.25096
0.0392	-277.03494
0.0393	-276.81866
0.0394	-276.60213
0.0395	-276.38535
0.0396	-276.16832
0.0397	-275.95106
0.0398	-275.73357
0.0399	-275.51584
0.04	-275.2979
0.0401	-275.07974
0.0402	-274.86136
0.0403	-274.64278
0.0404	-274.424
0.0405	-274.20502
0.0406	-273.98585
0.0407	-273.76649
0.0408	-273.54695
0.0409	-273.32724
0.041	-273.10736
0.0411	-272.8873
0.0412	-272.66709
0.0413	-272.44672
0.0414	-272.2262
0.0415	-272.00553
0.0416	-271.78472
0.0417	-271.56377
0.0418	-271.34269
0.0419	-271.12148
0.042	-270.90014
0.0421	-270.67869
0.0422	-270.45712
0.0423	-270.23544
0.0424	-270.01366
0.0425	-269.79178
0.0426	-269.5698
0.0427	-269.34772
0.0428	-269.12556
0.0429	-268.90332
0.043	-268.681
0.0431	-268.4586
0.0432	-268.23613
0.0433	-268.01359
0.0434	-267.791
0.0435	-267.56834
0.0436	-267.34563
0.0437	-267.12287
0.0438	-266.90007
0.0439	-266.67722
0.044	-266.45434
0.0441	-266.23142
0.0442	-266.00847
0.0443	-265.7855
0.0444	-265.5625
0.0445	-265.33949
0.0446	-265.11646
0.0447	-264.89342
0.0448	-264.67038
0.0449	-264.44733
0.045	-264.22428
0.0451	-264.00124
0.0452	-263.77821
0.0453	-263.55518
0.0454	-263.33218
0.0455	-263.10919
0.0456	-262.88622
0.0457	-262.66328
0.0458	-262.44038
0.0459	-262.2175
0.046	-261.99466
0.0461	-261.77186
0.0462	-261.5491
0.0463	-261.32639
0.0464	-261.10374
0.0465	-260.88113
0.0466	-260.65858
0.0467	-260.43609
0.0468	-260.21367
0.0469	-259.99131
0.047	-259.76902
0.0471	-259.5468
0.0472	-259.32466
0.0473	-259.10259
0.0474	-258.88061
0.0475	-258.65872
0.0476	-258.43691
0.0477	-258.2152
0.0478	-257.99358
0.0479	-257.77205
0.048	-257.55063
0.0481	-257.32931
0.0482	-257.10809
0.0483	-256.88698
0.0484	-256.66599
0.0485	-256.44511
0.0486	-256.22435
0.0487	-256.0037
0.0488	-255.78318
0.0489	-255.56279
0.049	-255.34252
0.0491	-255.12239
0.0492	-254.90239
0.0493	-254.68252
0.0494	-254.4628
0.0495	-254.24322
0.0496	-254.02378
0.0497	-253.80449
0.0498	-253.58534
0.0499	-253.36635
0.05	-253.14752
0.0501	-252.92884
0.0502	-252.71032
0.0503	-252.49196
0.0504	-252.27377
0.0505	-252.05575
0.0506	-251.83789
0.0507	-251.62021
0.0508	-251.4027
0.0509	-251.18537
0.051	-250.96822
0.0511	-250.75125
0.0512	-250.53446
0.0513	-250.31786
0.0514	-250.10145
0.0515	-249.88523
0.0516	-249.6692
0.0517	-249.45337
0.0518	-249.23774
0.0519	-249.02231
0.052	-248.80708
0.0521	-248.59205
0.0522	-248.37724
0.0523	-248.16263
0.0524	-247.94823
0.0525	-247.73405
0.0526	-247.52008
0.0527	-247.30633
0.0528	-247.0928
0.0529	-246.8795
0.053	-246.66642
0.0531	-246.45356
0.0532	-246.24094
0.0533	-246.02855
0.0534	-245.81639
0.0535	-245.60446
0.0536	-245.39278
0.0537	-245.18133
0.0538	-244.97013
0.0539	-244.75917
0.054	-244.54845
0.0541	-244.33798
0.0542	-244.12777
0.0543	-243.9178
0.0544	-243.7081
0.0545	-243.49864
0.0546	-243.28945
0.0547	-243.08051
