dist	field
0.0293	-278.47144
0.0294	-278.32276
0.0295	-278.17406
0.0296	-278.02534
0.0297	-277.87661
0.0298	-277.72785
0.0299	-277.57908
0.03	-277.43029
0.0301	-277.28149
0.0302	-277.13266
0.0303	-276.98382
0.0304	-276.83496
0.0305	-276.68609
0.0306	-276.53719
0.0307	-276.38828
0.0308	-276.23935
0.0309	-276.0904
0.031	-275.94144
0.0311	-275.79245
0.0312	-275.64345
0.0313	-275.49443
0.0314	-275.3454
0.0315	-275.19634
0.0316	-275.04727
0.0317	-274.89818
0.0318	-274.74907
0.0319	-274.59994
0.032	-274.4508
0.0321	-274.30164
0.0322	-274.15246
0.0323	-274.00326
0.0324	-273.85405
0.0325	-273.70481
0.0326	-273.55556
0.0327	-273.40629
0.0328	-273.25701
0.0329	-273.1077
0.033	-272.95838
0.0331	-272.80904
0.0332	-272.65968
0.0333	-272.5103
0.0334	-272.36091
0.0335	-272.2115
0.0336	-272.06207
0.0337	-271.91262
0.0338	-271.76315
0.0339	-271.61367
0.034	-271.46416
0.0341	-271.31464
0.0342	-271.16511
0.0343	-271.01555
0.0344	-270.86598
0.0345	-270.71638
0.0346	-270.56677
0.0347	-270.41714
0.0348	-270.2675
0.0349	-270.11783
0.035	-269.96815
0.0351	-269.81845
0.0352	-269.66873
0.0353	-269.519
0.0354	-269.36924
0.0355	-269.21947
0.0356	-269.06968
0.0357	-268.91987
0.0358	-268.77004
0.0359	-268.6202
0.036	-268.47033
0.0361	-268.32045
0.0362	-268.17055
0.0363	-268.02063
0.0364	-267.8707
0.0365	-267.72074
0.0366	-267.57077
0.0367	-267.42078
0.0368	-267.27077
0.0369	-267.12074
0.037	-266.9707
0.0371	-266.82064
0.0372	-266.67056
0.0373	-266.52046
0.0374	-266.37034
0.0375	-266.2202
0.0376	-266.07005
0.0377	-265.91987
0.0378	-265.76968
0.0379	-265.61947
0.038	-265.46925
0.0381	-265.319
0.0382	-265.16874
0.0383	-265.01846
0.0384	-264.86816
0.0385	-264.71784
0.0386	-264.5675
0.0387	-264.41714
0.0388	-264.26677
0.0389	-264.11638
0.039	-263.96597
0.0391	-263.81554
0.0392	-263.66509
0.0393	-263.51463
0.0394	-263.36414
0.0395	-263.21364
0.0396	-263.06312
0.0397	-262.91258
0.0398	-262.76202
0.0399	-262.61145
0.04	-262.46086
0.0401	-262.31024
0.0402	-262.15961
0.0403	-262.00896
0.0404	-261.85829
0.0405	-261.70761
0.0406	-261.5569
0.0407	-261.40618
0.0408	-261.25544
0.0409	-261.10468
0.041	-260.9539
0.0411	-260.8031
0.0412	-260.65229
0.0413	-260.50145
0.0414	-260.3506
0.0415	-260.19973
0.0416	-260.04884
0.0417	-259.89793
0.0418	-259.74701
0.0419	-259.59606
0.042	-259.4451
0.0421	-259.29412
0.0422	-259.14312
0.0423	-258.9921
0.0424	-258.84106
0.0425	-258.69
0.0426	-258.53893
0.0427	-258.38783
0.0428	-258.23672
0.0429	-258.08559
0.043	-257.93444
0.0431	-257.78327
0.0432	-257.63209
0.0433	-257.48088
0.0434	-257.32966
0.0435	-257.17841
0.0436	-257.02715
0.0437	-256.87587
0.0438	-256.72457
0.0439	-256.57326
0.044	-256.42192
0.0441	-256.27056
0.0442	-256.11919
0.0443	-255.9678
0.0444	-255.81639
0.0445	-255.66496
0.0446	-255.51351
0.0447	-255.36204
0.0448	-255.21056
0.0449	-255.05905
0.045	-254.90753
0.0451	-254.75599
0.0452	-254.60442
0.0453	-254.45284
0.0454	-254.30125
0.0455	-254.14963
0.0456	-253.99799
0.0457	-253.84634
0.0458	-253.69466
0.0459	-253.54297
0.046	-253.39126
0.0461	-253.23953
0.0462	-253.08778
0.0463	-252.93601
0.0464	-252.78422
0.0465	-252.63242
0.0466	-252.48059
0.0467	-252.32875
0.0468	-252.17689
0.0469	-252.025
0.047	-251.8731
0.0471	-251.72118
0.0472	-251.56925
0.0473	-251.41729
0.0474	-251.26531
0.0475	-251.11332
0.0476	-250.9613
0.0477	-250.80927
0.0478	-250.65722
0.0479	-250.50515
0.048	-250.35306
0.0481	-250.20095
0.0482	-250.04882
0.0483	-249.89667
0.0484	-249.7445
0.0485	-249.59232
0.0486	-249.44012
0.0487	-249.28789
0.0488	-249.13565
0.0489	-248.98339
0.049	-248.83111
0.0491	-248.67881
0.0492	-248.52649
0.0493	-248.37415
0.0494	-248.22179
0.0495	-248.06942
0.0496	-247.91702
0.0497	-247.76461
0.0498	-247.61217
0.0499	-247.45972
0.05	-247.30725
0.0501	-247.15476
0.0502	-247.00225
0.0503	-246.84972
0.0504	-246.69717
0.0505	-246.5446
0.0506	-246.39202
0.0507	-246.23941
0.0508	-246.08679
0.0509	-245.93414
0.051	-245.78148
0.0511	-245.62879
0.0512	-245.47609
0.0513	-245.32337
0.0514	-245.17063
0.0515	-245.01787
0.0516	-244.86509
0.0517	-244.71229
0.0518	-244.55947
0.0519	-244.40664
0.052	-244.25378
0.0521	-244.1009
0.0522	-243.94801
0.0523	-243.79509
0.0524	-243.64216
0.0525	-243.48921
0.0526	-243.33624
0.0527	-243.18324
0.0528	-243.03023
0.0529	-242.8772
0.053	-242.72415
0.0531	-242.57108
0.0532	-242.41799
0.0533	-242.26488
0.0534	-242.11176
0.0535	-241.95861
0.0536	-241.80544
0.0537	-241.65226
0.0538	-241.49905
0.0539	-241.34583
0.054	-241.19258
0.0541	-241.03932
0.0542	-240.88603
0.0543	-240.73273
0.0544	-240.57941
0.0545	-240.42607
0.0546	-240.2727
0.0547	-240.11932
0.0548	-239.96592
0.0549	-239.8125
0.055	-239.65906
0.0551	-239.5056
0.0552	-239.35213
0.0553	-239.19863
0.0554	-239.04511
0.0555	-238.89157
0.0556	-238.73801
0.0557	-238.58444
0.0558	-238.43084
0.0559	-238.27722
0.056	-238.12359
0.0561	-237.96993
0.0562	-237.81626
0.0563	-237.66256
0.0564	-237.50885
0.0565	-237.35512
0.0566	-237.20136
0.0567	-237.04759
0.0568	-236.8938
0.0569	-236.73998
0.057	-236.58615
0.0571	-236.4323
0.0572	-236.27843
0.0573	-236.12453
0.0574	-235.97062
0.0575	-235.81669
0.0576	-235.66274
0.0577	-235.50877
0.0578	-235.35478
0.0579	-235.20077
0.058	-235.04674
0.0581	-234.89269
0.0582	-234.73862
0.0583	-234.58453
0.0584	-234.43042
0.0585	-234.27629
0.0586	-234.12214
0.0587	-233.96797
0.0588	-233.81378
0.0589	-233.65957
0.059	-233.50534
0.0591	-233.35109
0.0592	-233.19683
0.0593	-233.04254
0.0594	-232.88823
0.0595	-232.7339
0.0596	-232.57955
0.0597	-232.42518
0.0598	-232.27079
0.0599	-232.11639
0.06	-231.96196
0.0601	-231.80751
0.0602	-231.65304
0.0603	-231.49855
0.0604	-231.34404
0.0605	-231.18952
0.0606	-231.03497
0.0607	-230.8804
0.0608	-230.72581
0.0609	-230.5712
0.061	-230.41657
0.0611	-230.26193
0.0612	-230.10726
0.0613	-229.95257
0.0614	-229.79786
0.0615	-229.64313
0.0616	-229.48838
0.0617	-229.33361
0.0618	-229.17882
0.0619	-229.02401
0.062	-228.86918
0.0621	-228.71433
0.0622	-228.55946
0.0623	-228.40457
0.0624	-228.24966
0.0625	-228.09473
0.0626	-227.93978
0.0627	-227.78481
0.0628	-227.62982
0.0629	-227.47481
0.063	-227.31978
0.0631	-227.16472
0.0632	-227.00965
0.0633	-226.85456
0.0634	-226.69945
0.0635	-226.54431
0.0636	-226.38916
0.0637	-226.23399
0.0638	-226.07879
0.0639	-225.92358
0.064	-225.76834
0.0641	-225.61309
0.0642	-225.45781
0.0643	-225.30252
0.0644	-225.1472
0.0645	-224.99186
0.0646	-224.83651
0.0647	-224.68113
0.0648	-224.52573
0.0649	-224.37031
0.065	-224.21488
0.0651	-224.05942
0.0652	-223.90394
0.0653	-223.74844
0.0654	-223.59292
0.0655	-223.43738
0.0656	-223.28181
0.0657	-223.12623
0.0658	-222.97063
0.0659	-222.81501
0.066	-222.65936
0.0661	-222.5037
0.0662	-222.34802
0.0663	-222.19231
0.0664	-222.03659
0.0665	-221.88084
0.0666	-221.72507
0.0667	-221.56929
0.0668	-221.41348
0.0669	-221.25765
0.067	-221.1018
0.0671	-220.94593
0.0672	-220.79004
0.0673	-220.63413
0.0674	-220.4782
0.0675	-220.32225
0.0676	-220.16627
0.0677	-220.01028
0.0678	-219.85427
0.0679	-219.69823
0.068	-219.54218
0.0681	-219.3861
0.0682	-219.23
0.0683	-219.07388
0.0684	-218.91775
0.0685	-218.76159
0.0686	-218.60541
0.0687	-218.44921
0.0688	-218.29298
0.0689	-218.13674
0.069	-217.98048
0.0691	-217.8242
0.0692	-217.66789
0.0693	-217.51156
0.0694	-217.35522
0.0695	-217.19885
0.0696	-217.04246
0.0697	-216.88605
0.0698	-216.72962
0.0699	-216.57317
0.07	-216.4167
0.0701	-216.26021
0.0702	-216.1037
0.0703	-215.94716
0.0704	-215.79061
0.0705	-215.63403
0.0706	-215.47743
0.0707	-215.32081
0.0708	-215.16418
0.0709	-215.00752
0.071	-214.85083
0.0711	-214.69413
0.0712	-214.53741
0.0713	-214.38066
0.0714	-214.2239
0.0715	-214.06711
0.0716	-213.91031
0.0717	-213.75348
0.0718	-213.59663
0.0719	-213.43976
0.072	-213.28287
0.0721	-213.12595
0.0722	-212.96902
0.0723	-212.81207
0.0724	-212.65509
0.0725	-212.49809
0.0726	-212.34107
0.0727	-212.18403
0.0728	-212.02697
0.0729	-211.86989
0.073	-211.71279
0.0731	-211.55566
0.0732	-211.39852
0.0733	-211.24135
0.0734	-211.08416
0.0735	-210.92696
0.0736	-210.76973
0.0737	-210.61247
0.0738	-210.4552
0.0739	-210.29791
0.074	-210.14059
0.0741	-209.98326
0.0742	-209.8259
0.0743	-209.66852
0.0744	-209.51112
0.0745	-209.3537
0.0746	-209.19625
0.0747	-209.03879
0.0748	-208.8813
0.0749	-208.72379
0.075	-208.56626
0.0751	-208.40871
0.0752	-208.25114
0.0753	-208.09355
0.0754	-207.93594
0.0755	-207.7783
0.0756	-207.62064
0.0757	-207.46296
0.0758	-207.30526
0.0759	-207.14754
0.076	-206.9898
0.0761	-206.83203
0.0762	-206.67425
0.0763	-206.51644
0.0764	-206.35861
0.0765	-206.20076
0.0766	-206.04289
0.0767	-205.88499
0.0768	-205.72708
0.0769	-205.56914
0.077	-205.41118
0.0771	-205.2532
0.0772	-205.0952
0.0773	-204.93718
0.0774	-204.77913
0.0775	-204.62106
0.0776	-204.46298
0.0777	-204.30486
0.0778	-204.14673
0.0779	-203.98858
0.078	-203.8304
0.0781	-203.67221
0.0782	-203.51399
0.0783	-203.35575
0.0784	-203.19749
0.0785	-203.0392
0.0786	-202.8809
0.0787	-202.72257
0.0788	-202.56422
0.0789	-202.40585
0.079	-202.24746
0.0791	-202.08904
0.0792	-201.93061
0.0793	-201.77215
0.0794	-201.61367
0.0795	-201.45517
0.0796	-201.29664
0.0797	-201.1381
0.0798	-200.97953
0.0799	-200.82094
0.08	-200.66233
0.0801	-200.50369
0.0802	-200.34504
0.0803	-200.18636
0.0804	-200.02766
0.0805	-199.86894
0.0806	-199.7102
0.0807	-199.55143
0.0808	-199.39265
0.0809	-199.23384
0.081	-199.07501
0.0811	-198.91615
0.0812	-198.75728
0.0813	-198.59838
0.0814	-198.43946
0.0815	-198.28052
0.0816	-198.12156
0.0817	-197.96257
0.0818	-197.80356
0.0819	-197.64453
0.082	-197.48548
0.0821	-197.32641
0.0822	-197.16731
0.0823	-197.00819
0.0824	-196.84905
0.0825	-196.68989
0.0826	-196.53071
0.0827	-196.3715
0.0828	-196.21227
0.0829	-196.05302
0.083	-195.89374
