# x / m	B / T
72.0000000	 0.0151231
70.0000000	 0.0157296
68.0000000	 0.0164616
66.0000000	 0.0172906
64.0000000	 0.0181756
62.0000000	 0.0190686
60.0000000	 0.0199213
58.0000000	 0.0206921
56.0000000	 0.0213525
54.0000000	 0.0218912
52.0000000	 0.0223157
50.0000000	 0.0226509
48.0000000	 0.0229351
46.0000000	 0.0232132
44.0000000	 0.0235301
42.0000000	 0.0239234
40.0000000	 0.0244169
38.0000000	 0.0250166
36.0000000	 0.0257080
34.0000000	 0.0264569
32.0000000	 0.0272116
30.0000000	 0.0279090
28.0000000	 0.0284811
26.0000000	 0.0288633
24.0000000	 0.0290022
22.0000000	 0.0288612
20.0000000	 0.0284245
18.0000000	 0.0276970
16.0000000	 0.0267027
14.0000000	 0.0254798
12.0000000	 0.0240759
10.0000000	 0.0225428
 8.0000000	 0.0209313
 6.0000000	 0.0192883
 4.0000000	 0.0176541
 2.0000000	 0.0160618
 0.0000000	 0.0145364
-2.0000000	 0.0130959
-4.0000000	 0.0117515
-6.0000000	 0.0105096
-8.0000000	 0.0093718
-10.0000000	 0.0083368
-12.0000000	 0.0074007
-14.0000000	 0.0065582
-16.0000000	 0.0058031
-18.0000000	 0.0051285
-20.0000000	 0.0045274
-22.0000000	 0.0039930
-24.0000000	 0.0035187
-26.0000000	 0.0030983
-28.0000000	 0.0027261
-30.0000000	 0.0023969
-32.0000000	 0.0021058
-34.0000000	 0.0018485
-36.0000000	 0.0016212
-38.0000000	 0.0014204
-40.0000000	 0.0012430
-42.0000000	 0.0010863
-44.0000000	 0.0009479
-46.0000000	 0.0008256
-48.0000000	 0.0007176
-50.0000000	 0.0006221
-52.0000000	 0.0005377
-54.0000000	 0.0004631
-56.0000000	 0.0003973
-58.0000000	 0.0003390
-60.0000000	 0.0002876
-62.0000000	 0.0002421
-64.0000000	 0.0002019
-66.0000000	 0.0001665
-68.0000000	 0.0001352
-70.0000000	 0.0001076
-72.0000000	 0.0000833
-74.0000000	 0.0000618
-76.0000000	 0.0000430
-78.0000000	 0.0000264
-80.0000000	 0.0000119
-82.0000000	-0.0000008
-84.0000000	-0.0000119
-86.0000000	-0.0000216
-88.0000000	-0.0000300
-90.0000000	-0.0000373
-92.0000000	-0.0000436
-94.0000000	-0.0000490
-96.0000000	-0.0000537
-98.0000000	-0.0000576
-100.0000000	-0.0000608
-102.0000000	-0.0000636
-104.0000000	-0.0000658
-106.0000000	-0.0000676
-108.0000000	-0.0000690
-110.0000000	-0.0000701
-112.0000000	-0.0000708
-114.0000000	-0.0000713
-116.0000000	-0.0000716
-118.0000000	-0.0000717
-120.0000000	-0.0000715
-122.0000000	-0.0000712
-124.0000000	-0.0000708
-126.0000000	-0.0000702
-128.0000000	-0.0000696
-130.0000000	-0.0000688
-132.0000000	-0.0000680
-134.0000000	-0.0000671
-136.0000000	-0.0000661
-138.0000000	-0.0000651
-140.0000000	-0.0000641
-142.0000000	-0.0000630
-144.0000000	-0.0000619
-146.0000000	-0.0000608
-148.0000000	-0.0000597
